,X distance [m],Magnetic Anomaly [nT]
0,0.0,4.745981288145649
1,1000.0,5.394639677658779
2,2000.0,6.143899022373998
3,3000.0,7.008257617075929
4,4000.0,8.002535686669846
5,5000.0,9.140484009491958
6,6000.0,10.43238586220582
7,7000.0,11.881223229071836
8,8000.0,13.476996682083081
9,9000.0,15.189087049816882
10,10000.0,16.957423823074606
11,11000.0,18.684985741693403
12,12000.0,20.236668200712824
13,13000.0,21.451395116901132
14,14000.0,22.172446391113596
15,15000.0,22.292677712499533
16,16000.0,21.799407481727442
17,17000.0,20.798151595668575
18,18000.0,19.5036785111689
19,19000.0,18.208154545990947
20,20000.0,17.26059581726039
21,21000.0,17.126635373030417
22,22000.0,18.71422144624027
23,23000.0,24.458383597246325
24,24000.0,32.14845639302583
25,25000.0,25.290656875492086
26,26000.0,21.69989386611456
27,27000.0,21.480087513107698
28,28000.0,22.30153658432147
29,29000.0,23.27236816885565
30,30000.0,23.96670601211925
31,31000.0,24.155898214288033
32,32000.0,23.74841857287627
33,33000.0,22.76989595896453
34,34000.0,21.3332359530716
35,35000.0,19.595036032283804
36,36000.0,17.71301976796423
37,37000.0,15.81774580985639
38,38000.0,14.001645036936003
39,39000.0,12.32066300135867
40,40000.0,10.80191452671411
41,41000.0,9.452506341810725
42,42000.0,8.267104150647741
43,43000.0,7.233526367440342
44,44000.0,6.336495698131033
45,45000.0,5.55996573265005
46,46000.0,4.888452801359783
47,47000.0,4.307719661461112
48,48000.0,3.80505972703426
49,49000.0,3.36934849377121
50,50000.0,2.9909685726061697
