,X distance [m],P wave arrival 1 [s],P wave arrival 2 [s],P wave arrival 3 [s],P wave arrival 4 [s]
0,49.99999999999999,1.2615365397550704,2.054624825146675,3.1899830007191667,3.9083149083094213
1,1050.0,1.8193648537744593,2.145282325136577,3.2123238873400624,3.920590387687298
2,2049.9999999999995,2.8554255851909147,2.367837214935662,3.2738258863523697,3.9548226498109216
3,3050.0,4.015168093061675,2.6672785842888516,3.3707181194495206,4.010020913503922
4,4049.9999999999995,5.216746788088585,3.0064888970096035,3.4978603423751338,4.0846863152096375
5,5050.0,6.43677496193618,3.3666895122207734,3.649745079085278,4.176969073234886
6,6049.999999999999,7.666449589404465,3.738756562935805,3.8212421967655246,4.284834217855405
7,7050.0,8.901773931797607,4.118027935031932,4.007985022619096,4.406208928662181
8,8049.999999999999,10.140683471173134,4.501950195040081,4.206467925417201,4.539096436639966
9,9049.999999999998,11.382007536050764,4.88903035251883,4.413976832601065,4.681652940295862
10,10049.999999999998,12.625033933920804,5.278344923118425,4.628452695852047,4.832231556962142
11,11050.0,13.869304954633208,5.669295005877075,4.848347229366709,4.98940050335932
12,12050.0,15.114513211602684,6.061476459286155,5.072497413564179,5.151942819596343
13,13050.0,16.360444697741286,6.454607263544972,5.30002600153739,5.318843750512087
14,14049.999999999998,17.60694587185276,6.848484916235975,5.530266411934463,5.489270571368365
15,15050.0,18.853903734883147,7.242960399319372,5.762707455228906,5.662548606656742
16,16049.999999999998,20.10123328942143,7.637921695364184,5.99695312169581,5.838136354707672
17,17050.0,21.348869379214307,8.033283020435192,6.232693413180414,6.015601826415605
18,18050.0,22.596761223022156,8.428977596173809,6.469683135570222,6.194601404870923
19,19049.999999999996,23.844868660071427,8.824952678996624,6.707726392319046,6.374861821783043
20,20050.0,25.093159513145736,9.221166067308218,6.946665160173666,6.5561653154699115
21,21049.999999999996,26.341607699645408,9.61758359962596,7.186370799214728,6.738337709531947
22,22050.0,27.59019185451001,10.014177331242479,7.426737685236731,6.921238998917261
23,23049.999999999996,28.838894310303715,10.410924184486248,7.66767838893179,7.1047559956699615
24,24049.999999999996,30.087700330540542,10.80780493532211,7.909119992074807,7.288796617741809
25,25050.0,31.336597526500384,11.204803442596074,8.151001246758483,7.4732854640583355
26,26049.999999999996,32.58557540748342,11.601906054841209,8.393270365454782,7.658160384886514
27,27050.0,33.83462503099287,11.999101148735349,8.635883287175375,7.8433698174153506
28,28050.0,35.08373872723382,12.39637876648544,8.878802306171679,8.028870708286092
29,29050.0,36.332909880490604,12.793730328173922,9.121994978970633,8.21462688616515
30,30049.999999999996,37.58213275412464,13.191148401665544,9.365433246858117,8.400607780259918
31,31049.999999999996,38.831402349172095,13.588626517086709,9.609092726428628,8.586787405535858
32,32049.999999999996,40.08071428959482,13.986159016162844,9.852952132239693,8.773143554419619
33,33050.0,41.33006472802478,14.383740928859766,10.096992803959438,8.95965714924472
34,34050.0,42.5794502683064,14.781367871995144,10.34119831689054,9.146311720339156
35,35050.0,43.828867901289556,15.179035965111666,10.585554159259459,9.33309298300179
36,36049.99999999999,45.07831495097312,15.57674176050989,10.830047463440792,9.519988492634695
37,37049.99999999999,46.327789030027134,15.974482184536953,11.074666780977509,9.70698736207288
38,38050.0,47.57728800149209,16.372254488284796,11.31940189330885,9.894080028642009
39,39050.0,48.826809946896304,16.770056205797687,11.56424365181249,10.081258061192216
40,40049.99999999999,50.07635313907204,17.167885118579477,11.809183842088999,10.268513999464403
41,41049.99999999999,51.325916018889075,17.565739225354946,12.054215068214035,10.455841219734964
42,42050.0,52.57549717509639,17.96361671612965,12.299330653774007,10.643233821909377
43,43050.0,53.82509532745192,18.3615159498556,12.544524556800582,10.830686534234019
44,44050.0,55.0747093115821,18.759435435163226,12.789791296459157,11.018194632527013
45,45049.99999999999,56.32433806635902,19.157373813718806,13.035125889647475,11.205753871454903
46,46049.99999999999,57.573980622513346,19.55532984567637,13.280523795940724,11.393360425789695
47,47050.0,58.823636093046844,19.953302397086674,13.525980869680438,11.581010840069382
48,48050.0,60.07330366458922,20.351290428728248,13.77149331811728,11.768701985265324
49,49049.99999999999,61.3229825897765,20.749292986550273,14.017057664751064,11.956431021338943
