,X distance [m],Gravity Anomaly [mGal]
0,0.0,0.2241607582014157
1,1000.0,0.24028683181794624
2,2000.0,0.25465489552956927
3,3000.0,0.2654611602188398
4,4000.0,0.27001203196769796
5,5000.0,0.264355545653151
6,6000.0,0.24279092929502552
7,7000.0,0.1972453882434242
8,8000.0,0.11654141565598913
9,9000.0,-0.01434519979871227
10,10000.0,-0.2147925674505506
11,11000.0,-0.508338810260715
12,12000.0,-0.9210683352535557
13,13000.0,-1.4777507591911077
14,14000.0,-2.195253485069172
15,15000.0,-3.073829290169795
16,16000.0,-4.088561681052043
17,17000.0,-5.184795240562285
18,18000.0,-6.281690266468134
19,19000.0,-7.286198764444482
20,20000.0,-8.116274472436864
21,21000.0,-8.730743765487565
22,22000.0,-9.167826061844595
23,23000.0,-9.570834854816837
24,24000.0,-9.558974763805109
25,25000.0,-7.982601393911475
26,26000.0,-6.279081591705339
27,27000.0,-4.7985494828330175
28,28000.0,-3.479522449423642
29,29000.0,-2.314800008278226
30,30000.0,-1.3197133158849217
31,31000.0,-0.507578736964646
32,32000.0,0.11980471249574713
33,33000.0,0.5739708809052089
34,34000.0,0.877213883555044
35,35000.0,1.0577834065108833
36,36000.0,1.1449013432248116
37,37000.0,1.1650739662746574
38,38000.0,1.1401822946057034
39,39000.0,1.0870536730503697
40,40000.0,1.0179285700495981
41,41000.0,0.9413041663942054
42,42000.0,0.8628263890724176
43,43000.0,0.7860719330315599
44,44000.0,0.7131699099217121
45,45000.0,0.645267451207636
46,46000.0,0.582864874165163
47,47000.0,0.5260501427173866
48,48000.0,0.4746592084451954
49,49000.0,0.4283834849474403
50,50000.0,0.3868404418104754
