,X distance [m],P wave arrivals [s]
0,1050.0,1.6125745628333723
1,1050.0,1.6125745628333723
2,2049.9999999999995,2.0109494200205393
3,2049.9999999999995,2.0109494200205393
4,3050.0,2.4093242772077064
5,3050.0,2.4093242772077064
6,4049.9999999999995,2.8076991343948734
7,4049.9999999999995,2.8076991343948734
8,5050.0,3.206073991582041
9,5050.0,3.206073991582041
10,6049.999999999999,3.3518767982796533
11,6049.999999999999,3.3518767982796533
12,7050.0,3.5986712690752363
13,7050.0,3.5986712690752363
14,8049.999999999999,3.8454657398708183
15,8049.999999999999,3.8454657398708183
16,9049.999999999998,4.092260210666401
17,9049.999999999998,4.092260210666401
18,10049.999999999998,4.339054681461985
19,10049.999999999998,4.339054681461985
20,11050.0,4.585849152257566
21,11050.0,4.585849152257566
22,12050.0,4.949765547585196
23,12050.0,4.949765547585196
24,13050.0,5.138296653105396
25,13050.0,5.138296653105396
26,14049.999999999998,5.326827758625596
27,14049.999999999998,5.326827758625596
28,15050.0,5.515358864145796
29,15050.0,5.515358864145796
30,16049.999999999998,5.703889969665996
31,16049.999999999998,5.703889969665996
32,17050.0,5.892421075186196
33,17050.0,5.892421075186196
34,18050.0,6.0809521807063955
35,18050.0,6.0809521807063955
36,19049.999999999996,6.2694832862265955
37,19049.999999999996,6.2694832862265955
38,20050.0,6.458014391746795
39,20050.0,6.458014391746795
40,21049.999999999996,6.646545497266995
41,21049.999999999996,6.646545497266995
42,22050.0,6.814126792832863
43,22050.0,6.814126792832863
44,23049.999999999996,6.980367148270394
45,23049.999999999996,6.980367148270394
46,24049.999999999996,7.146607503707925
47,24049.999999999996,7.146607503707925
48,25050.0,7.312847859145457
49,25050.0,7.312847859145457
50,26049.999999999996,7.479088214582988
51,26049.999999999996,7.479088214582988
52,27050.0,7.645328570020519
53,27050.0,7.645328570020519
54,28050.0,7.811568925458051
55,28050.0,7.811568925458051
56,29050.0,7.977809280895583
57,29050.0,7.977809280895583
58,30049.999999999996,8.144049636333113
59,30049.999999999996,8.144049636333113
60,31049.999999999996,8.310289991770645
61,31049.999999999996,8.310289991770645
62,32049.999999999996,8.476530347208175
63,32049.999999999996,8.476530347208175
64,33050.0,8.642770702645707
65,33050.0,8.642770702645707
66,34050.0,8.80901105808324
67,34050.0,8.80901105808324
68,35050.0,8.97525141352077
69,35050.0,8.97525141352077
70,36049.99999999999,9.141491768958302
71,36049.99999999999,9.141491768958302
72,37049.99999999999,9.307732124395834
73,37049.99999999999,9.307732124395834
74,38050.0,9.473972479833364
75,38050.0,9.473972479833364
76,39050.0,9.640212835270896
77,39050.0,9.640212835270896
78,40049.99999999999,9.806453190708428
79,40049.99999999999,9.806453190708428
80,41049.99999999999,9.972693546145958
81,41049.99999999999,9.972693546145958
82,42050.0,10.13893390158349
83,42050.0,10.13893390158349
84,43050.0,10.305174257021022
85,43050.0,10.305174257021022
86,44050.0,10.471414612458553
87,44050.0,10.471414612458553
88,45049.99999999999,10.637654967896085
89,45049.99999999999,10.637654967896085
90,46049.99999999999,10.803895323333615
91,46049.99999999999,10.803895323333615
92,47050.0,10.970135678771147
93,47050.0,10.970135678771147
94,48050.0,11.13637603420868
95,48050.0,11.13637603420868
